nFamilies	nSpeciesPerFamily	nSampledSpeciesPerFamily	nResourcesPerClass	leakageFraction	preferenceStrength	byproductSparsity	metabolism	r	p
7	164	53	4	0.6589790976972038	0.10119514743205016	1.2095279442764437	common	-0.3571432299693157	1.5087430747837276e-13
3	243	57	14	0.5986001762540549	0.922637898946593	9.140004440964644	common	-0.3215092659016776	7.336852336753028e-09
3	224	28	15	0.7798827888361559	0.10250025009064423	0.5097859558526047	common	-0.3349689236860667	1.3242723333707461e-15
5	267	63	12	0.7388570024201655	0.9998557341569327	0.7208260254675406	common	-0.07214333425524022	0.0016477932520805089
7	186	74	5	0.774639810575589	0.9974934927150563	1.5476745136150887	common	0.017394510512126232	3.685118976775933e-05
4	258	45	4	0.6754998776042933	0.1273187513243963	0.11791009301281252	common	-0.46677423798618983	7.404227260123289e-14
6	249	83	14	0.6947654959147644	0.547260477104942	2.12124718821613	common	-0.24496014621899134	9.968505093064878e-17
4	287	44	10	0.7260443976897083	0.9154831598141883	8.990875946856175	specific	-0.07889402589567976	6.799342018220962e-16
3	269	21	8	0.7528306190101547	0.8199494887459173	0.10215890451574217	specific	-0.6098140028081498	2.399651422560773e-05
6	157	57	14	0.5014134248260325	0.067463580882821	0.19867315555792817	specific	-0.7332991265416927	9.921188635381966e-09
7	255	51	5	0.7878238871750518	0.7218743564534829	6.996928578382218	specific	0.14826451765190596	3.129500108259856e-07
7	202	51	8	0.5942022791651275	0.7531923208128697	6.665848263591662	common	0.02095245308967826	0.0001251358891961154
3	298	61	10	0.508932996785281	0.2999312184816414	0.6416755408445303	common	-0.03811053641275364	7.835906330833275e-08
8	162	45	13	0.5116864459027268	0.04427704491666318	0.32184662403110664	common	-0.6936308816590068	7.835970089463057e-07
4	213	81	12	0.6312557177993868	0.18721960330791887	2.456093675819182	specific	-0.3999195128099759	3.920994794409448e-17
4	274	98	8	0.6953326735565902	0.6128029727419982	0.12149786566501096	common	-0.38940652047788493	1.8889062511146512e-17
5	226	95	5	0.7848187353260103	0.5605768688941982	0.1459619526111224	common	-0.23066201554395904	3.926066866534421e-14
6	195	62	15	0.5760373940202365	0.8916545458322875	0.9772246324076468	specific	-0.16971455987522385	0.00011660102352452733
4	261	96	15	0.7753975906525098	0.9344900308114433	1.6900238768140983	specific		
5	269	29	13	0.6307678035063189	0.8015401536187827	3.4637497867164107	common	0.06144120088774414	0.00012297139521694032
7	300	52	6	0.6943682802349601	0.12467220838197102	0.5359145092502853	specific	-0.4657146126514651	2.2063440892835008e-10
8	220	50	11	0.6951990182723583	0.8699802157601344	3.9295064163531053	common	-0.14498301346965384	2.2009206180639637e-06
5	234	65	13	0.7704709539413931	0.16646964131030684	0.49524714179004636	specific	-0.6644662525478628	4.087727849510335e-11
7	236	53	5	0.6820043533845399	0.1320673037464538	0.317873074770739	common	-0.4335557805840502	1.079157593770274e-17
6	220	30	9	0.7372478644240377	0.5175010150705758	0.3376511296351922	common	0.09657108294559501	1.2281709545716064e-24
3	187	72	9	0.5038470723138704	0.5327932961558182	7.0979018104246965	common	-0.07527525883131497	1.1936672942905197e-09
7	268	28	8	0.735538036220852	0.5671192940209345	1.0205098836565014	common	-0.016864224847879403	3.656980509837083e-18
7	155	59	15	0.7273557604647561	0.2223531048843428	7.08337179576796	common	-0.5545999261111817	1.0476886432859997e-11
4	197	56	5	0.7911234649645742	0.8261723063639433	0.25971345853828715	common	-0.43898694272577493	6.794505671798058e-13
7	254	29	11	0.7657823539424725	0.6621850555322703	0.11237847998996159	specific	0.018328579974273857	8.281013040374503e-09
7	166	66	7	0.6218632427723145	0.08052962840571865	0.12081789976841512	specific	-0.5603844327105804	4.531064395355605e-11
8	243	80	4	0.6508093828419693	0.7633926866751152	0.6231139863057794	common	-0.11497411466731808	0.004419608969828886
4	273	76	9	0.57511413554171	0.2575767750283443	0.7795276140456069	specific	-0.2070544760923537	2.614952007682766e-14
6	260	99	9	0.5100429911025415	0.7381213210599655	1.19144133537299	common	-0.358611905788272	0.012759136579204616
7	215	33	6	0.6452299787568079	0.6694241409975195	0.8974042563997767	common	-0.18455565415279873	1.2090718027148577e-08
4	227	71	3	0.5368984953584842	0.9897444593299449	0.2206242020215129	specific	-0.1012492281179678	1.0922918056679998e-14
4	174	84	3	0.7474352068119655	0.5341796502852566	0.5118980654678812	specific	-0.2719426060431976	4.262187794569174e-09
8	242	95	5	0.5645262098785038	0.6699573030071828	0.7120060678347855	specific	-0.24168697178750237	3.102455697814612e-05
6	169	38	14	0.7268715320693049	0.21117279453518867	0.12259232797459062	specific	-0.576041765584432	2.2572548408327137e-14
5	267	26	10	0.744386157262093	0.8342166709519634	4.168629614108838	common	-0.3825067211331555	2.720600844597931e-12
4	253	64	9	0.7701663730900729	0.15527502473246735	0.5933647252846377	specific	-0.6353888308104004	5.001583563153913e-12
3	173	84	11	0.6705042757986381	0.6337296115734086	7.827276210839057	specific	-0.37938709437092377	1.4765731515318982e-06
8	294	53	14	0.6745299110845311	0.07302921220132008	0.4082568874140459	specific	-0.6580254650556321	6.493413397998829e-09
3	283	36	15	0.7346601193168747	0.0361574524241326	6.903685151898192	common	-0.5315310781725497	1.372715408869592e-10
3	181	62	15	0.6340284045427182	0.4804148603146663	0.8131938306066903	specific	-0.10570288489598904	1.922836548395851e-14
3	212	58	15	0.6902131042689007	0.2391696706791634	1.5550201632266547	specific	-0.25883722250452584	6.233148709073042e-17
