n_families	n_species_focal
3	4
3	15
3	10
9	12
4	12
5	11
3	16
3	11
2	7
0	6
3	7
3	12
3	10
1	13
2	13
7	13
5	12
0	11
0	5
4	11
8	11
3	13
6	12
6	12
4	10
0	7
4	6
0	12
3	13
3	12
5	9
1	8
0	9
0	11
3	11
0	7
4	10
0	10
0	7
1	8
4	10
4	12
7	16
3	7
6	11
1	8
6	13
5	9
4	10
3	12
1	10
4	12
2	9
0	13
2	9
1	8
0	11
5	14
0	10
1	13
0	10
0	5
2	9
2	3
8	13
7	12
7	14
8	13
1	5
0	9
6	11
7	9
5	14
2	8
7	9
4	9
4	10
2	2
2	11
7	17
5	14
0	9
1	6
5	8
0	8
3	7
4	11
4	15
5	7
2	7
6	12
0	5
5	13
0	8
2	6
3	4
6	14
3	6
2	12
6	9
