n_families	n_species_focal
1	12
4	2
4	5
7	5
3	3
4	2
4	1
2	5
4	7
1	8
2	10
4	4
3	4
2	2
3	4
6	3
3	4
1	4
0	9
5	2
6	4
2	4
6	3
7	4
2	7
1	9
3	7
2	4
3	3
2	5
6	4
1	7
0	8
2	3
3	4
0	10
4	3
1	5
0	6
3	7
6	3
3	4
6	1
1	7
6	5
3	6
7	4
3	8
6	4
2	4
3	4
2	5
1	7
1	2
1	8
0	8
0	6
5	0
1	7
3	4
0	4
1	8
2	4
0	10
6	3
5	4
6	1
6	1
1	8
0	7
6	3
7	4
6	1
0	8
5	4
2	4
2	5
0	14
4	6
6	0
6	3
1	8
0	7
5	7
2	7
2	7
3	4
4	2
3	7
3	7
5	5
0	8
3	4
1	9
0	11
1	10
6	0
1	10
3	3
5	6
