		W0	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W60	W61	W62	W63	W64	W65	W66	W67	W68	W69	W70	W71	W72	W73	W74	W75	W76	W77	W78	W79	W80	W81	W82	W83	W84	W85	W86	W87	W88	W89	W90	W91	W92	W93	W94	W95	W96	W97	W98	W99
F0	S0	3.7308150288344514e-16	4.499662381412463e-12	3.453135846587682e-16	2.132353048828363e-13	3.73415458936704e-16	2.1099694380561998e-13	2.133436473065262e-13	2.177448551663172e-13	6.030536849426978e-15	3.448588349683862e-16	2.2093912435949068e-13	3.730556983736867e-16	3.7671275958825983e-16	2.118450138156835e-13	2.0210164031296503e-13	1.542941054065971e-09	2.168753545453335e-13	2.0301528826195727e-13	2.1319286913865982e-13	3.427782208413171e-16	3.282951787552685e-16	3.771875165020888e-16	2.0364368516660885e-13	1.6709254766311962e-09	2.0701013867719686e-13	3.7788569680438275e-16	2.0375250213195513e-13	2.131313674740653e-13	2.0226282718389374e-13	2.1624215876495625e-13	3.4441474799478657e-16	2.1310100896311984e-13	3.4416662204516844e-16	2.1779858800860592e-13	1.297007207931051e-13	3.781194907597074e-16	3.7822026303812873e-16	3.776774034483099e-16	1.2747862984974351e-13	3.771905388330529e-16	2.1354467563233925e-13	3.431374220805402e-16	2.1449651189022776e-13	2.1802942060035653e-13	2.0385665878850326e-13	2.084931037600533e-13	3.779644113118477e-16	3.7859096096199894e-16	3.440302446808851e-16	2.0852348571285526e-13	2.182479246000464e-13	3.7846658180466195e-16	3.4447005708505896e-16	3.775170729613062e-16	3.7887363767657504e-16	5.566275894340417e-16	5349.2993083487345	3.781800609088397e-16	1.469358730650457e-09	3.7821475084413276e-16	2.0209438619982395e-13	2.1334313645931366e-13	2.16254784997652e-13	2.1784543508499833e-13	3.226033733626037e-16	3.7721041891412576e-16	2.052409348009252e-13	3.4188241968742215e-16	3.969072168070591e-16	3.2840131083917503e-16	3.798548479940454e-16	3.7552649958128555e-16	3.9811445327941184e-16	3.4555349598683622e-16	2.1781437168657398e-13	2.169531389304927e-13	1.481781144703166e-09	1.333428908954576e-13	3.7783066583141423e-16	5.166150339129349e-09	2.1031992027936783e-13	3.4557869252636267e-16	6.063516940282815e-15	3.8138130020382276e-13	1.4821149523266265e-09	2.029760000982838e-13	3.4385897334466657e-16	3.437432920045981e-16	2.015595098841971e-13	1.4707718448458693e-09	3.7815279009379333e-16	2.1792574402432147e-13	2.11956994442874e-13	2.0818336945669346e-13	3.429731013154914e-16	3.736995716409192e-16	4.559182067218539e-12	4.874363436395487e-09	2.161382448949142e-13	2.1283382976235003e-13
F0	S1	1.374320150972726e-11	0.003958292193168835	1.373201042015064e-11	8.03185498906718e-06	1.3745684349085776e-11	7.783569433686166e-06	8.042331685644217e-06	8.225917354622773e-06	5.660261754244313e-09	1.3748340006279555e-11	8.27370355873464e-06	1.3753480470395507e-11	1.3770890864363405e-11	7.924549733738944e-06	7.194237925080665e-06	492.0886061922751	8.196461129306537e-06	7.253862350587434e-06	8.029329654432252e-06	1.370724167456813e-11	1.3329900291119696e-11	1.378201600402001e-11	7.301750851094943e-06	0.0	7.3941017243801424e-06	1.3793024013218614e-11	7.3173658300379254e-06	8.022365494552692e-06	7.19954724362737e-06	8.113122806886793e-06	1.3769306768008328e-11	8.021656555644246e-06	1.3763487551331554e-11	8.211080467034204e-06	2.9119076742005004e-06	1.379717243843722e-11	1.3767061800582022e-11	1.3765168313510618e-11	2.81245443728373e-06	1.3772678232928435e-11	0.0	1.3714709519270531e-11	7.994336853707068e-06	8.225251471809296e-06	7.328385856293838e-06	7.461288468422256e-06	1.3782623591360072e-11	1.3777123371025219e-11	1.3698987794479397e-11	7.471102697162779e-06	8.211810518728317e-06	1.3776109805766547e-11	1.3734094978300309e-11	1.3786349004839838e-11	1.376659513561709e-11	1.5903136480014446e-11	0.0	1.375936961817913e-11	501.40720761537733	1.379836386540416e-11	7.195459257355159e-06	8.038570861811632e-06	8.125200639063485e-06	8.222623423524967e-06	0.0	1.376676113518106e-11	7.288820322529856e-06	1.3741010766239172e-11	1.465403142322911e-11	1.3261599354820182e-11	1.381251238267745e-11	1.3757418283729959e-11	1.467244566200142e-11	1.3725521872815803e-11	8.212553868387678e-06	7.4289949824578935e-06	506.6057670568561	3.0045301292897955e-06	1.3779900352654748e-11	5428.71202913752	7.804679847845573e-06	1.3803765908132717e-11	5.682696275001762e-09	0.0	507.14559730573535	7.255421153573473e-06	1.3746943157790014e-11	1.3716822199183821e-11	7.1540631071961355e-06	501.15677677580123	1.37954916742778e-11	8.212556500153665e-06	7.932952677423746e-06	7.4686301119433715e-06	1.3719733550947314e-11	1.3753170173705767e-11	0.003987550250790943	5436.937622210638	8.119250470855427e-06	7.6260826237328824e-06
F0	S2	2.9638829039160834e-11	0.02455306370400528	2.9774135212634014e-11	2.6397701172218047e-05	2.964704132243521e-11	2.5907598335736325e-05	2.6403580105705833e-05	2.596358201808649e-05	1.2276614041220227e-08	2.975261180690108e-11	2.5905602612770316e-05	2.9625168866872307e-11	2.975952002264459e-11	2.6418582545422542e-05	2.3429987922591087e-05	4858.0130819303295	2.6012397399278403e-05	2.3472108453057937e-05	2.640457174196188e-05	2.964107322525381e-11	2.9804482401285696e-11	2.9766125422035074e-11	2.3494355686223556e-05	5332.442053821997	2.332712772271102e-05	2.978468407164976e-11	2.3485019704609627e-05	2.6401126759895193e-05	2.340868784372495e-05	2.5943598241017995e-05	0.0	2.641776683902394e-05	0.0	2.596926758919709e-05	9.071883333753249e-06	2.9789363783378286e-11	2.983799096216691e-11	2.9820358480253755e-11	8.72073420751683e-06	2.977388509541832e-11	2.6405332831418498e-05	2.964043617549834e-11	2.5817772204998018e-05	2.596637289191696e-05	2.3479705037069867e-05	2.336564117712454e-05	2.978889622741075e-11	2.983444549758225e-11	2.965849710762914e-11	2.3356267256564892e-05	0.0	2.983470722896207e-11	2.969427201235619e-11	2.97785510796096e-11	2.987790344028614e-11	3.206802748137989e-11	0.0	2.9859652019692114e-11	4844.464252257414	2.979283977049602e-11	2.3456844449641036e-05	2.6395594934135516e-05	2.5940464926548475e-05	2.5962504384300097e-05	0.0	2.979642244948237e-11	2.3230788356870432e-05	2.9600739704225824e-11	3.057949460408005e-11	2.975312823154471e-11	2.985877980171997e-11	2.9770784494603075e-11	3.062627476629001e-11	2.978319564304477e-11	2.596485733706618e-05	2.273027052278004e-05	4846.457093086619	9.06470125004729e-06	2.9789969935958104e-11	0.0	2.632164624036295e-05	2.9874005085817754e-11	1.226844805677873e-08	8.814019045086803e-05	4845.936852726563	2.346553568937364e-05	2.9732476971092066e-11	2.966954509436379e-11	0.0	4844.704715190314	2.979102353583904e-11	2.5974989424088727e-05	2.6417641442961004e-05	2.3351898576732093e-05	2.9652180255709665e-11	2.963961099525745e-11	0.024386743832409977	0.0	2.5943224848799155e-05	2.3344536284295077e-05
F0	S3	4.225061881611085e-06	0.0	4.466040656149131e-06	5357.688842977351	4.226831795203858e-06	5345.78702847978	5357.688842524723	5349.9016742631575	0.04327423373826266	4.474732350176058e-06	5325.201639930905	4.222486694799751e-06	4.2587509357744534e-06	5356.689411191961	4563.2330810657	0.0	5349.906029880696	4584.714569397986	5357.688866226975	4.443210582602907e-06	4.592557791435042e-06	4.265202931930503e-06	4586.135735981487	0.0	4562.490037376417	4.275804841744532e-06	4585.466980863002	5357.688866229905	4563.164060378983	5348.890970365185	4.4855695842325526e-06	5357.688828212396	4.481167288149418e-06	5349.897993092066	1138.092318517368	4.278586546836606e-06	4.2639857304103475e-06	4.2590780490052e-06	1090.1643233586076	4.263018351896824e-06	5357.68885031738	4.442598052967629e-06	5318.986178752973	5349.899024114962	4585.297895640337	4562.560725195968	4.271899080575794e-06	4.265420993464182e-06	4.4441882767218355e-06	4562.416149983536	5349.894119834232	4.2648577966446245e-06	4.458282770835573e-06	4.270230579881936e-06	4.262968719314826e-06	5.051708976259946e-06	0.0	4.256851066321578e-06	0.0	4.278993449139067e-06	4563.280873562641	5357.688804382961	5348.89272425038	5349.900517119462	4.385558449939928e-06	4.2587862790657565e-06	4539.750388662767	4.43394881183872e-06	4.631271953503944e-06	4.551890892948245e-06	4.294458907624396e-06	4.2449042041053635e-06	4.6418693217839675e-06	4.4623524903780444e-06	5349.898540113184	4577.074995149802	0.0	1154.8966042343852	4.268189231615083e-06	0.0	5326.939214812376	0.0	0.04327875157306336	0.0	0.0	4584.976135263128	4.47065681302102e-06	4.4526987295513715e-06	4562.496158093609	0.0	4.278547960172095e-06	5349.897530628967	5356.6886962059825	4562.866214189097	4.447246287001491e-06	4.228713184142361e-06	0.0	0.0	5348.891032804137	4563.483508599942
F0	S4	1.53755645598519e-13	5.990656148474264e-07	1.5610710946962567e-13	4.45738256369488e-09	1.5374569365098164e-13	4.701380843276744e-09	4.463723401664612e-09	4.701758255207537e-09	1.430979514320465e-11	1.5626692149721915e-13	0.0	1.5382720451821301e-13	1.53730775525933e-13	4.449328216966021e-09	3.880189081646378e-09	0.0	4.67673038132407e-09	3.895248681180019e-09	4.470614880484674e-09	1.5612330182805225e-13	1.5215862476297448e-13	1.537698762579536e-13	3.8844443475289266e-09	0.0	4.101223529117994e-09	1.5385769037224712e-13	3.890999036829714e-09	4.4612255756779735e-09	3.883547879534173e-09	4.6816894900926845e-09	1.5646079492794844e-13	4.445614357951268e-09	0.0	0.0	1.5857871867975147e-09	1.5388050105397636e-13	1.5351000403593388e-13	1.535452759726523e-13	1.6060769917309504e-09	1.536676952237915e-13	4.466213252154936e-09	1.561895248857482e-13	4.646804101714512e-09	4.704984885179585e-09	3.8972797565542375e-09	4.101492335903684e-09	1.5371118398074901e-13	1.536496659113413e-13	1.5572570625648916e-13	4.109826062271277e-09	4.7012158991319264e-09	1.53638033435981e-13	1.5629900543492537e-13	1.5375792119872927e-13	1.5350867369188892e-13	1.7065888970333442e-13	0.0	1.5354938604187971e-13	0.005955836850667893	1.5381966597027793e-13	3.878327567794579e-09	4.455534569271367e-09	4.684601803679746e-09	4.701661308212411e-09	0.0	1.5371405159212712e-13	4.098683152360162e-09	1.5652642017318133e-13	1.6295374728767575e-13	1.5157360112903433e-13	1.5369828823192528e-13	1.535828753546207e-13	1.6301723604533526e-13	1.560621302093634e-13	4.698124726915203e-09	0.0	0.006157042580356193	1.570525190608307e-09	1.537208726375105e-13	0.0	4.4342770587911606e-09	0.0	1.4339285074842953e-11	9.774708982068684e-09	0.006148145858757119	3.887590833431397e-09	1.563505874105788e-13	1.560939639976687e-13	3.8890735808369404e-09	0.00600318752014805	1.5383105251635727e-13	4.696137007266738e-09	4.4596515302233065e-09	4.10535553111802e-09	0.0	1.5378544032896548e-13	0.0	0.04519327567668084	4.685491269666114e-09	4.212177845324321e-09
F0	S5	2.2962728384805564e-17	2.052979446147378e-14	0.0	0.0	2.2965656725037347e-17	0.0	0.0	2.591593987418748e-15	0.0	0.0	0.0	0.0	2.303278429774e-17	2.1246359574385715e-15	2.0417039787591034e-15	1.5220783016001816e-12	2.5876278153393335e-15	0.0	2.163617061221929e-15	4.554903281918998e-17	0.0	0.0	2.0884324876724235e-15	0.0	0.0	2.318436149886602e-17	2.049439079114004e-15	2.1567966426721745e-15	2.077357210991441e-15	2.567048004402422e-15	0.0	2.14322366385695e-15	0.0	2.6069504621512487e-15	1.5071752387539069e-15	2.3173720921580446e-17	2.313738191215069e-17	2.3172048962961925e-17	0.0	2.31886063720116e-17	2.160655910522929e-15	4.616978454029064e-17	0.0	0.0	2.0644189735390303e-15	2.4394096593710613e-15	2.3195266768431857e-17	2.3176620842832057e-17	0.0	2.436585721753117e-15	0.0	2.3236603743755347e-17	4.573564526735482e-17	0.0	2.325063477573447e-17	0.0	0.0011272899996827477	2.3277191734728904e-17	1.257551496405219e-12	0.0	2.0399794422215686e-15	2.1468316287366727e-15	2.5624838231398422e-15	2.614465814962139e-15	0.0	2.3230191001577668e-17	2.3953276393547455e-15	4.538383068812714e-17	0.0	0.0	0.0	0.0	4.6837463777024175e-17	4.5865772149719864e-17	2.599082216419568e-15	0.0	0.0	1.8330653489983428e-15	2.3075689318030573e-17	0.0	2.1338974504262554e-15	0.0	0.0	0.0	1.3223557693666801e-12	0.0	0.0	4.598844234401997e-17	2.0329313196479742e-15	0.0	0.0	0.0	0.0	0.0	4.553829029038626e-17	2.2943999529390514e-17	0.0	2.8409757497439313e-12	2.587405772997861e-15	2.6035149787322842e-15
F0	S6	0.0	8.832646500514917e-17	1.9470979918870294e-18	0.0	1.5552852293017663e-18	2.4397529782803072e-17	2.38288807316926e-17	2.4307512925592676e-17	4.534080150801135e-18	0.0	0.0	1.554347488190751e-18	1.5648468975207905e-18	2.3757220801926384e-17	2.254259741438632e-17	0.0	0.0	2.2675744765618228e-17	2.3935737967502093e-17	1.9312372117862374e-18	0.0	1.5703863430778705e-18	0.0	0.0	0.0	0.0	0.0	2.3869926363977373e-17	2.2679143732968545e-17	2.4256951805590652e-17	1.9467392383391135e-18	2.3799011394082014e-17	0.0	2.4417571892821188e-17	1.686336939893666e-17	0.0	0.0	0.0	1.6451464050528117e-17	0.0	0.0	1.9447796048012192e-18	0.0	2.43711446369835e-17	0.0	2.311111146403083e-17	1.5713005957219673e-18	0.0	0.0	2.3032055005262335e-17	0.0	1.5682421652624018e-18	0.0	1.5692926054432576e-18	1.5745335806072687e-18	0.0	4.516779086446699e-10	0.0	1.1788045574329294e-15	1.5720513493522516e-18	2.2580082813193026e-17	2.3777741811108224e-17	0.0	2.4439594674498994e-17	0.0	1.5672464271985978e-18	2.2925703109516538e-17	0.0	2.128039861561353e-18	0.0	0.0	1.5611966159600245e-18	0.0	1.9508214286265897e-18	0.0	0.0	0.0	0.0	1.5682232387255426e-18	2.1508115032621935e-15	2.3803635172443023e-17	0.0	4.5518084054426426e-18	0.0	0.0	0.0	1.9355755717483102e-18	1.9416729597354493e-18	0.0	0.0	0.0	0.0	2.3802165138941576e-17	2.2983796357606168e-17	0.0	1.5563390412025196e-18	0.0	0.0	2.4343952941356557e-17	0.0
F0	S7	1.5798165113071866e-13	0.0	1.6141126700408953e-13	0.0	1.5797898682392096e-13	0.0	4.705588841332335e-09	4.9125904546464555e-09	0.0	1.6151973177805627e-13	5.014629184008125e-09	0.0	1.5827753381062018e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5848618762662387e-13	4.149339524099529e-09	0.0	4.338133105559863e-09	1.587919027036679e-13	4.155154702581135e-09	4.7036787036815266e-09	4.145683084312007e-09	4.893462617928656e-09	0.0	4.6908759514425176e-09	0.0	0.0	1.7616748507244622e-09	0.0	1.58291769757802e-13	1.5818529498337745e-13	0.0	1.5837139676412466e-13	0.0	1.6100351262779332e-13	0.0	4.9186537024455335e-09	0.0	0.0	1.585299588247205e-13	1.5857621885132382e-13	0.0	0.0	0.0	1.5858402025423286e-13	0.0	1.5856386106066195e-13	0.0	0.0	0.0	1.584797657386788e-13	0.006921232847020008	1.5884606493150922e-13	0.0	4.698876167601812e-09	0.0	4.913748787949376e-09	1.541050958304681e-13	1.5841116261293814e-13	0.0	0.0	1.7121615667241462e-13	0.0	0.0	1.5767333648441376e-13	0.0	0.0	4.912550493810417e-09	0.0	0.0	1.7475973162585596e-09	1.58468980544028e-13	0.0	4.675693617630794e-09	0.0	0.0	0.0	0.0	4.1513289402017736e-09	0.0	1.6101388945442933e-13	4.148837149581147e-09	0.0	0.0	0.0	4.700611266244357e-09	4.345334532780854e-09	0.0	0.0	0.0	0.053498593711564325	0.0	0.0
F0	S8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2373033617243322e-06	1.2411449715095685e-06	0.0	774.5732393314418	0.0	0.0	778.1810413892615	0.0	0.0	0.0	1.241289861940126e-06	777.6358464681962	0.0	793.8982549408563	0.0	778.3097391023034	0.0	774.6306315710408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2410411766422394e-06	174.3261106242981	0.0	0.0	0.0	0.0	0.0	778.4801140101004	794.7132266321153	0.0	1.2413081873208648e-06	0.0	794.8584701135144	0.0	1.241243756611979e-06	0.0	0.0	1.2412782713020483e-06	1.356165936947295e-06	0.0	1.2409395901277591e-06	0.0	0.0	774.5235582763561	0.0	0.0	0.0	0.0	0.0	790.7299649322318	0.0	1.270207223459397e-06	1.214793588162326e-06	0.0	0.0	0.0	0.0	0.0	787.7813314093003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5374.540079207866	0.0	777.9176084765185	0.0	0.0	774.5203016123169	0.0	0.0	0.0	0.0	794.4067559289307	1.2157336011686738e-06	1.2376651658000505e-06	0.0	0.0	0.0	799.9772052344147
F0	S9	5444.883352856345	0.0	5445.7497066599835	0.0	5444.883351928914	0.0	0.0	0.0	0.0	5445.748172232841	0.0	5444.8833710373865	5444.9203434415895	0.0	0.0	0.0	0.0	0.0	0.0	5445.7506785445175	5435.653460002005	5444.920343453743	0.0	0.0	0.0	5444.92034468652	0.0	0.0	0.0	0.0	5445.7450750612215	0.0	5445.744943409794	0.0	0.0	5444.920344683574	5444.920344679654	5444.9203434413575	0.0	5444.920344542493	0.0	5445.750150788234	0.0	0.0	0.0	0.0	5444.920344690512	5444.920343453521	5445.749699415624	0.0	0.0	5444.920343454146	5445.749686667326	5444.920344673233	5444.920343437098	5463.898222652913	0.0	5444.920343305571	0.0	5444.9203446832635	0.0	0.0	0.0	0.0	5431.781377159562	5444.920344527876	0.0	5445.710749995234	5458.042298498266	5435.614566413071	5444.920344741018	5444.920344346439	5458.042299764598	5445.7489605435085	0.0	0.0	0.0	0.0	5444.920344675448	0.0	0.0	5445.744941150937	0.0	0.0	0.0	0.0	5445.7461824510365	5445.749920374609	0.0	0.0	5444.920344683638	0.0	0.0	0.0	5445.749868344647	5444.883366426838	0.0	0.0	0.0	0.0
