		W0	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W60	W61	W62	W63	W64	W65	W66	W67	W68	W69	W70	W71	W72	W73	W74	W75	W76	W77	W78	W79	W80	W81	W82	W83	W84	W85	W86	W87	W88	W89	W90	W91	W92	W93	W94	W95	W96	W97	W98	W99
F0	S0	5.176570890356422e-08	2.5351738439172473e-10	2.49805290915885e-08	4.823919173690266e-07	2.6031647118017365e-06	2.2279433686272682e-10	1.096136684495321e-10	1.6589738682083115e-05	1.3691343356856253e-05	2.0523322229076185e-13	3.270038880912657e-08	3.733665583561378e-08	4.0700889025672064e-07	9.592230772687377e-10	3.4647678558950066e-06	2.7616851408642677e-09	1.4150056422087815e-13	1.0440325130281043e-10	5.50130631606866e-08	2.24182542215314e-06	1.8051596656759173e-05	4.3571776751505e-07	2.9545027390872723e-09	2.7217245423631937e-09	2.530707884038602e-08	2.9310002599348857e-06	1.9868861453529577e-05	4.1223730817561345e-07	4.120033094267398e-13	7.107097474588925e-07	1.8539233980394175e-09	2.2282583533759237e-06	8.726992494741977e-05	4.2260678445134666e-13	2.391167285370107e-06	2.2879598707239737e-06	2.1718314683089967e-12	3.468898521331319e-13	4.1002912147360896e-05	301.7412898323411	8.05396768083788e-12	7.029257768745273e-08	3.4251395181276144e-06	2.033823130503731e-13	1.6675967623981987e-05	1.7731433145041103e-09	2.1086191488674667e-09	3.340762477596437e-08	2.537113160901065e-10	1.5420948905885404e-10	1.7197126902158566e-05	1.4589295115436006e-13	6.821702041978952e-06	4.116303659074545e-07	9.827825281908486e-10	5.328681922048906e-08	1.1982883329547518e-09	1.855951638907419e-06	3.9822962032304574e-13	9.383440286658371e-10	4.2672946329130593e-13	1.0784558972763633e-11	3.3572708122745103e-06	6.053399597298904e-08	7.961030944456384e-05	9.279689038203555e-08	1.5343760270740335e-10	1.9644796541455903e-09	0.015014608606076464	1.0758215037406424e-05	9.020631786255029e-08	0.026236432050351227	2.624017753140666e-13	5.422874033285232e-08	3.3934917885385543e-10	8.115029034489817e-12	1.7522573057917264e-10	1.601610839553053e-06	2.0892926960723268e-07	1.5569031068128985e-05	2.92210696334725e-13	1.0934938520773964e-09	2.386443885649784e-12	9.339957685488621e-08	2.447441413042664e-13	8.423029279331986e-08	3.1820879105026e-10	4.424032747676693e-07	7.915028707544272e-05	2.8066786865123517e-05	2.786967326823249e-06	7.659252633013893e-08	3.8504866757606213e-13	2.3241101513967087e-10	1.074991351924836e-09	2.088584936643524e-05	2.9168622011262744e-06	1.9168960776930724e-13	3.8815491518396626e-08	1.297343291503293e-12
F0	S1	4426.861058854336	4106.198659516297	4495.104195377189	4721.010572910593	4945.219298186989	4038.7432714400657	4015.3434725650695	5535.072602879652	5523.777391797359	3753.177937752328	4545.2265074522575	2109.22544675364	4720.184920364458	4190.756764703232	4933.142589168034	4186.6674160940365	29.38366860932739	4120.759765605914	4457.7079214547675	4866.763566998834	5536.303853930344	4719.492065429294	4183.159540209153	4183.256884822312	4495.192777443441	4913.206474625807	5536.734920410693	4717.692209911286	3843.8205800926457	4617.71659704699	4135.022703571304	4944.552544399979	5765.757095494079	3843.9422651196383	4865.1359832473245	4864.8014419576775	3860.8811186397124	3831.955506666266	5592.866277423005	0.0	3907.5260976675663	4464.196150061092	4933.482241782223	3750.572724584714	5524.114404896514	4134.260565962483	4153.905726288278	3333.808121899577	4105.413794674939	4097.418335494687	5536.30219448699	29.594331481366115	5152.900188669315	4719.981442684586	4191.0379878436215	4420.150510279035	4133.14199432924	4944.189494769814	3843.8182145078695	4140.729172089469	3822.810324640036	1056.926276691595	4933.1658743278285	4321.818442901808	5804.465274969027	4533.859917258969	4097.417488949652	4165.086102855236	0.0	5363.086920410045	4534.4603157875	0.0	3777.3816904687615	4331.897414124798	4112.09164306443	3907.1601011035555	4016.9126112565077	4880.211754822975	4583.392017726536	5522.495787955969	3832.8431377131765	4132.670686677339	3860.712975059011	4508.44664845388	3774.2889173144645	4509.112543055228	4111.059839125405	4717.958552506304	5801.975721587027	5366.441307473398	4865.110359682787	4348.489802425559	93.58440479322948	4049.2140057628226	4099.045419115339	5442.230635852484	5042.241891113064	3750.136984795499	2092.998768239857	117.9628182368641
F0	S2	0.0	2.3483820076650605e-06	7.888400446192072e-07	4.570517795874685e-06	8.554699551538082e-06	1.2188960594600042e-06	6.288779031272963e-07	9.472397541592874e-06	9.567035297458046e-06	3.4894628879020227e-07	3.223995879471627e-06	3.4024737712099387e-06	4.183352121611788e-06	8.985272691207238e-07	1.650082821761264e-07	0.0	2.421540732281182e-09	1.5081203086154247e-06	5.625611856182184e-06	1.912510068635506e-06	9.895673456046522e-06	0.0	3.1712757709344938e-06	3.000643166694749e-06	8.26252356747249e-07	1.624498532679729e-07	0.0	4.169691924620373e-06	6.927414666937801e-07	2.667375492539419e-06	5.434521632968462e-06	9.234987788652948e-06	5.886764511385306e-07	0.0	0.0	1.8616718251517143e-06	5.976680847556204e-07	4.82567412538306e-07	7.048237253038023e-07	2338.7961361286725	8.721401462889428e-07	5.497323837425751e-06	1.736236182500405e-07	6.964076988811382e-07	9.635060870833998e-06	5.251697969159678e-06	2.4897814488443003e-06	2.8603094995888744e-07	2.619534230421478e-06	2.9036929398160817e-06	1.000555843707309e-05	2.4244140247004903e-09	0.0	0.0	8.030748919963713e-07	5.621812295645126e-06	1.0212208335530189e-06	8.290745573524052e-06	6.499965200373928e-07	4.1957311309747005e-07	4.405667245440373e-07	2.4287002410751094e-06	1.5937440461891003e-07	8.07129900828748e-07	7.554489898830971e-07	3.677831335647588e-06	2.906980648844755e-06	6.806619740486965e-07	248.778889372466	1.0301864960248117e-05	3.654631135769683e-06	596.5902117893464	6.584866559746354e-07	5.551604891013375e-07	2.9649975731091694e-06	8.771453980149792e-07	6.721037607813216e-07	3.4981297284903786e-06	3.3222394067231677e-06	9.257320060252006e-06	4.3579131499519247e-07	1.0200116933825744e-06	5.980044057067303e-07	5.677305603591214e-06	5.087783149742341e-07	5.74823559615534e-06	2.9545468063997665e-06	4.259254849170131e-06	7.837597795547021e-07	4.746636539105695e-07	1.7931590234982453e-06	4.4652219488775095e-07	2.7936795654634484e-08	6.67284297013507e-07	1.065744865618311e-06	0.0	4.030192953343783e-06	6.549881280663478e-07	3.534947178552386e-06	4.3654195634583413e-08
F0	S3	0.00012412246042286203	2.1298270365529517e-05	5.086048271893542e-06	0.0	0.00372768489949814	1.6400630751946556e-06	1.6731420075905003e-06	0.04577778774725802	0.04551245468030699	3.7419345045462243e-08	5.5731140795268096e-05	0.005007088803304289	0.0021857142222937386	1.8719222508185425e-05	0.0	0.00011073737243558532	3.58228742961128e-08	4.4101586800659035e-07	0.00010834939516879135	0.000341403844336035	0.0	0.0024456306401940066	0.00010772223102414554	9.353476770813006e-05	5.200512383904379e-06	3.585234623605601e-05	0.0	0.0	8.429285260154001e-08	0.0001149830401970104	4.915256105501095e-05	0.0038894372809533994	9.663458610114813e-06	0.0	0.0003618110273604885	0.00033271032987611514	1.48582468715959e-07	6.657095163396744e-08	0.0	2417.8007907473943	0.0	0.00013801122256166694	4.437418602184757e-05	5.3724373928589265e-08	0.04789395135587214	4.7145566683189025e-05	5.554993926246467e-05	1.7957728234878251e-06	2.0178809220189357e-05	2.390033963923707e-05	0.052130661424801196	3.5565526595609855e-08	0.0005819407565102931	0.002361677895575477	1.959989104640482e-05	0.00012303172068011846	3.485211546339555e-06	0.0036202763428813474	7.986511533506505e-08	2.0264941882727638e-06	7.630310174485164e-08	560.7907012499481	0.0	6.089847032720074e-06	3.267128899871955e-05	0.00023927091289209496	0.0	1.8264907675181053e-05	0.0	0.023444201477580126	0.000226946315385777	375.87013214422103	5.971801394164021e-08	1.2641101440144844e-05	2.756434551768389e-05	0.0	2.852580808760786e-06	0.00045618553208493965	0.0009877275225364682	0.044994145829784546	5.015291020525803e-08	3.0668787418193363e-06	1.5048994554546897e-07	0.0002340587250770349	5.3634276789120594e-08	0.00022742804226570982	2.609896094689603e-05	0.0024498265996024476	2.9579314511261228e-05	2.4101152268825446e-05	0.00035448175259791993	4.353950980803617e-06	6.934717714016091e-05	3.875435017532872e-06	5.714914079089317e-05	0.0	0.0008773536672322693	4.933572444615804e-08	0.005362422392797275	0.00046032836208844785
F0	S4	6.029516921181295e-07	1.6190981680179873e-07	5.520021940515399e-08	5.585612511005165e-06	7.3307477450344326e-06	1.0753212189747262e-08	3.9028444939303985e-08	0.0	3.5784635978337046e-05	4.705823349170013e-10	3.092999997294693e-07	5.372753108773864e-06	4.799618087673901e-06	3.8953988676147454e-08	3.6056894561082425e-07	7.066536876683557e-07	3.8768493353478227e-10	9.30869448093727e-09	1.7370530603732538e-07	3.380103453111601e-07	3.905250371479826e-05	0.0	6.94994491327679e-07	6.481412641236023e-07	5.227442313363581e-08	3.1298555438493065e-07	4.155989032731453e-05	5.118673658484101e-06	1.4528420511227109e-09	4.132909736013256e-07	2.039701579056238e-07	7.407872036598152e-06	0.0	0.0	0.0	3.40878613183503e-07	4.930184643752918e-09	9.919382186992046e-10	0.0	873.6408650054885	1.4704941914371806e-08	1.7730477411187594e-07	3.531499410143402e-07	1.3973567120571523e-09	3.663611633428773e-05	2.0802500545389378e-07	5.355461915071894e-07	4.3811230504402014e-08	1.849607088545824e-07	2.018666768774591e-07	3.8344204990347394e-05	3.8319785010355016e-10	0.0	5.254551230017448e-06	3.7949831876829285e-08	6.14236955093904e-07	0.0	6.981645027939769e-06	1.356440020475361e-09	1.5785093070847932e-08	9.39769261630598e-10	0.0	3.64601529189439e-07	3.648756630535427e-08	1.0892974651032219e-06	2.3611002365383468e-07	2.0400850849172827e-07	5.480481451089509e-08	0.0	2.234276152149192e-05	2.277329961253894e-07	1.5029803163098097	1.3371916019219323e-09	5.6089174840172526e-08	2.1073989428267237e-07	1.4838325819964226e-08	4.751350331558725e-08	8.456086436808421e-07	2.7563835940124437e-06	3.5197011573387094e-05	0.0	1.6743909464637705e-08	5.009909317815633e-09	1.9965051767819386e-07	1.010736135941374e-09	1.9833974935118262e-07	2.075315791602724e-07	5.333555655843183e-06	1.0149585817084304e-06	8.93147663833457e-07	3.4422902032772335e-07	3.3439422114872485e-08	3.000791152205485e-08	4.0987911322000605e-08	2.7632786982016637e-07	0.0	8.85920440380589e-07	1.2987310896057176e-09	5.756494345724463e-06	1.5055601837496803e-08
F0	S5	0.0	1.4256708580505867e-10	1.1087183600402187e-10	0.0	0.0	0.0	7.170438234342381e-11	0.0	1.0305054709460494e-09	3.355145569705588e-10	0.0	0.0	0.0	2.731034215602282e-10	1.6204162278927482e-11	8.042924442539239e-11	2.576837842128427e-11	0.0	6.148306713948678e-11	4.2969113039910114e-11	1.134720244251098e-09	0.0	8.6425286584084e-11	7.869606497034627e-11	0.0	1.4742718847233313e-11	1.2519870137293802e-09	2.179901988191339e-10	7.119051811992635e-10	6.638900467893608e-11	7.327296666898307e-11	0.0	0.0	0.0	4.389586014377995e-11	0.0	1.6113355275988585e-10	6.038053878241614e-10	0.0	4.308111543641856e-07	1.740096498405456e-10	8.042930288657657e-11	0.0	0.0	1.0832448088837628e-09	7.116812595094539e-11	6.537400162786287e-11	5.181782545866572e-10	0.0	0.0	0.0	2.7428914748169163e-11	0.0	0.0	2.7302315700924104e-10	0.0	0.0	1.208344460409049e-10	6.928039735768262e-10	3.297610064102057e-11	0.0	0.0	0.0	0.0	6.726255111747968e-09	1.0971218948611488e-10	1.380957000288626e-10	0.0	4.737253497537182e-06	6.930220069589747e-10	9.991898346173084e-11	3.3201335594360996e-06	0.0	3.4736036443157535e-11	0.0	0.0	9.061361388498166e-11	0.0	0.0	1.0128366476971502e-09	0.0	4.224990576916357e-11	1.6939161374723747e-10	1.0505994702608258e-10	0.0	9.645359941738728e-11	1.7146815469705886e-10	0.0	6.018320931995488e-09	0.0	4.29928688989486e-11	2.9302321309222034e-11	3.86437805359359e-10	1.2259750022066715e-10	1.4419804631245491e-10	0.0	0.0	0.0	0.0	2.8965657054824227e-11
F0	S6	0.0	9.478059201700511e-11	1.6623995904654684e-10	0.0	0.0	0.0	7.778178561034374e-12	0.0	0.0	1.845286110580421e-11	4.63451371355699e-10	0.0	1.8290478750648005e-09	5.697762212025232e-10	7.480643808866859e-10	0.0	3.1324188796999844e-12	0.0	0.0	0.0	0.0	0.0	4.777259071568572e-11	0.0	0.0	5.959461474743395e-10	0.0	1.668309827990574e-09	0.0	9.674962078302836e-09	2.961703860924128e-10	7.736531532038651e-10	4.594191662862503e-09	0.0	0.0	7.739104033763241e-10	8.176684878218748e-13	0.0	2.96930497683133e-09	0.0	0.0	2.8877591790318563e-09	7.659182232296377e-10	0.0	0.0	2.667343880743754e-10	2.802281869712511e-11	2.955658802592355e-10	9.574354782917264e-11	1.9956103057806177e-11	1.7786066692467274e-08	3.329544361200137e-12	0.0	0.0	6.429884567399977e-10	3.4299641426095885e-10	7.180771273192404e-10	5.632920401947066e-10	5.2773605312946307e-11	3.4964326123041864e-10	5.914580879500636e-11	0.0	0.0	1.4920204992559567e-10	0.0	0.0	1.893677473543924e-11	0.0	0.0	7.61484192349431e-09	4.469546236943108e-09	0.0	0.0	9.187652439929619e-11	1.726264208174141e-10	0.0	0.0	2.4663347139212813e-09	6.408504994599924e-10	1.574347518048123e-08	0.0	0.0	1.2234190708898645e-12	5.58075383264014e-09	2.138049960683461e-11	4.689844212350257e-09	0.0	1.7376587984831414e-09	0.0	1.7972738532202877e-09	0.0	0.0	1.3908144137917004e-12	7.099711839032076e-11	6.205850289086928e-11	2.314944336297892e-09	8.015899851070493e-09	9.415513400121183e-12	0.0	0.0
F0	S7	0.0	2.3122818581921146e-05	0.0	0.0	0.0006327171723917039	0.0	0.0	0.006746640161145663	0.0	1.1051640087328897e-05	2.2978950528771364e-05	0.0	0.0	0.0	6.235877711276227e-06	0.0001365296929645762	3.415783373743562e-09	2.8264983416757516e-06	5.668169117080249e-05	0.0	0.007752678531181391	0.0	0.0	0.00013046508897828274	0.0	5.384839800239148e-06	0.0	0.0	0.0	3.346605110605757e-05	3.964182164357908e-05	0.0	3.0266619238325393e-05	0.0	1.1182063297785903e-05	1.1015570178257497e-05	2.002380079826853e-05	1.9644422514900827e-05	0.0	0.0	0.0	7.40223890727531e-05	0.0	0.0	0.007171543732798098	3.7601961625840576e-05	0.00010182946747736388	0.0	2.595218642704242e-05	0.0	0.0	0.0	0.0	0.0	4.00666924630055e-05	0.0	0.0	0.0	0.0	9.710788229402628e-06	1.8714606520479e-05	0.0	6.22066383621392e-06	0.0	0.0	8.999490549175827e-05	0.0	0.0	3886.0158991366748	0.0	8.466691758207275e-05	3560.103838649029	2.054455819505127e-05	8.263116695390886e-06	3.49282569383277e-05	0.0	0.0	0.0	0.0	0.0068893785262260695	1.5251838564570188e-05	0.0	2.0381579809605188e-05	0.0	0.0	8.363211883502129e-05	0.0	0.0	0.0	1.8716292336508562e-05	0.0	3.727557780462507e-06	3.971790072222277e-09	1.2611464590318106e-05	0.00015842478885713895	0.0	0.0	0.0	0.0	0.0
F0	S8	0.0	0.0	3.7877942675166486e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2081189867586825e-10	0.0	8.120686016618609e-08	0.0	0.0	0.0	0.0	0.0	3.9244603194170037e-07	4.4774767734806135e-08	0.0	1.38695431992983e-06	0.0	0.0	1.0893202364944649e-07	0.0	0.0	0.0	0.0	0.0	2.1054131460157623e-07	3.853059010693563e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1905368166574898e-07	3.897637530301432e-07	1.0544795586725799e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.105191473513619e-07	4.2889388097146406e-07	0.0	0.0	0.0	0.0	0.0	1.0684959265967019e-05	1.1034119762868313e-07	6.412422722144632e-08	0.0	0.0	0.0	0.0	0.0	0.0	3.9709977078950226e-08	0.0	0.0	9.55576527556391e-08	0.0	7.959280761086319e-07	0.0	0.0	1.2131404944537346e-07	2.1690177586597774e-07	1.0766956545508291e-07	2.8527710087526867e-07	0.0	1.3897725925928706e-07	1.5051240185795494e-06	9.611645462145577e-06	3.0587627631428788e-06	5.15061751413091e-08	3.1662374152221505e-08	0.0	1.3575312189676167e-07	0.0	0.0	1.3561027425572906e-07	0.0	0.0	9.410582003204437e-10
F0	S9	1.9147117358626497e-10	0.0	0.0	0.0	0.0	1.2104265537253244e-11	4.744826771373329e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.129318983474309e-11	0.0	7.019196202736063e-15	0.0	3.230434125745032e-10	0.0	1.2172435633465374e-09	0.0	2.3626675092836587e-12	2.152013707977041e-12	3.2256831291340236e-11	2.8129227586914482e-11	1.2883775041898603e-09	0.0	3.694953962340404e-14	5.975662985064671e-10	7.272348008635608e-11	0.0	0.0	0.0	4.448618753723862e-10	0.0	0.0	0.0	0.0	0.0	0.0	3.321128321837426e-10	0.0	0.0	0.0	0.0	2.0802729768859363e-12	0.0	0.0	0.0	1.2225861034464307e-09	0.0	4.5453468849320425e-09	0.0	0.0	1.6681879724659474e-10	0.0	0.0	0.0	0.0	0.0	4.718579881768048e-13	2.8687124729813732e-11	5.8173504259974224e-11	0.0	2.0504895710128862e-10	3.959711348756407e-13	0.0	0.0	7.216722354222554e-10	0.0	0.0	3.3812455221298534e-14	2.349251543483522e-11	4.354453385728688e-13	0.0	0.0	4.751046347834119e-10	0.0	0.0	1.4494048170866207e-13	2.0955772616019448e-11	5.015694069715811e-13	3.7229285528707723e-10	0.0	3.622237377426232e-10	0.0	0.0	1.6233391981936036e-10	0.0	3.7402947793734554e-10	3.3794219449022775e-11	0.0	0.0	1.228072079995339e-12	0.0	0.0	0.0	9.176031592492527e-12	0.0
