		W0	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W60	W61	W62	W63	W64	W65	W66	W67	W68	W69	W70	W71	W72	W73	W74	W75	W76	W77	W78	W79	W80	W81	W82	W83	W84	W85	W86	W87	W88	W89	W90	W91	W92	W93	W94	W95	W96	W97	W98	W99
F0	S0	3629.75562643206	3628.953274155471	3574.233413773999	3574.3429754572444	3550.905220649399	3458.459860161568	3629.7287344961383	3574.342478844909	3574.212689455459	3628.750759231496	3629.620858353753	3535.3225099272945	3628.9063681195153	3535.412219410511	3532.463701326752	3629.602672498728	3629.515055724961	3629.6798799364315	3535.4388495716794	3574.346826748901	3734.550106696992	3458.4242489630915	3574.3774976437758	3542.3133178106445	3629.5714463132863	3628.878462197075	3629.7956567718034	3640.9165467827142	3713.0047822361707	3629.5692519904605	3629.583195133525	3583.1052380348433	3535.500174462137	3629.4707010632856	3574.2856386448634	3338.1329689989484	3574.4043259702053	3629.678071995915	3629.067049013169	3629.8622951809466	3628.837941123007	3458.4962488217134	3640.929761135542	3535.3225061822927	3629.854757717508	3536.701510237665	3536.4669037076005	3535.488883626771	3629.0617567704135	3574.351218236128	3458.3441833990355	3628.9994071494684	3708.9625749236484	3629.6349961007936	3629.677738992601	3535.322500201242	3664.0041720313425	3574.353515302361	3628.930229102546	3628.9120769458555	3574.2771961958183	3583.0982291956243	3535.439971605681	3347.579774716992	3583.1146396530244	3574.2174743026108	3459.8170041310445	3511.9127596712683	3574.3411927036527	3629.1120359763845	3535.3219657208565	3535.322510838344	3772.7742426151212	3574.3080152479365	3629.0171930466554	3535.3225134784557	3640.965067035403	3535.347188591897	3629.563535087467	3629.723338622955	3535.288985077518	3347.587747949234	3505.588761900269	3629.589876210268	3629.812516531153	3628.882487771565	3629.11902952702	3535.235475387692	3574.4601613600903	3628.9445948178686	3628.846894477292	3629.527179574298	3629.9314877490474	3736.0073787690803	3629.8239895305546	3542.5296761147692	3574.4918604429195	3535.322009016958	3347.5782725126414	3629.7216764607824
F0	S1	1.2600691741335247e-13	1.1738148177231364e-13	6.567210377208579e-14	7.323002408752192e-14	2.2026052964013452e-14	3.0454473541508824e-11	1.2542067265452505e-13	7.056131944626068e-14	6.999147449876531e-14	1.2971130767796696e-13	1.2486155804809022e-13	3.469219863712096e-14	1.2104983726821932e-13	0.0	2.009779126733303e-14	1.2283197167010904e-13	1.2194754181655417e-13	1.2895386139797137e-13	2.746823463809386e-14	7.163191413984077e-14	1.60093806631718e-11	2.7656327665446874e-14	7.074570042664672e-14	1.833144459908955e-14	1.1364590363382868e-13	1.2865219277188878e-13	1.3242894254030032e-13	1.632601153299419e-13	0.0	1.1687901472841338e-13	1.2441973253563094e-13	9.014877530380008e-14	2.0001214231832575e-14	1.1955126774326852e-13	7.147683958673386e-14	9.680993108961896e-15	7.374044178318388e-14	1.2163173212938495e-13	1.3197780426904514e-13	1.3469282114161075e-13	1.2789439715052315e-13	2.6965588135191236e-14	0.0	0.0	1.1749510044752514e-13	1.9274228025119103e-14	1.8759531441878214e-14	1.8246042094283403e-14	1.2621230539731264e-13	7.180429248987455e-14	2.8059232198797784e-14	1.1429891120736084e-13	0.0	1.239740736545614e-13	1.229715209350518e-13	3.450370859677814e-14	1.595535719157374e-11	7.178627703745524e-14	1.0618925717002539e-13	1.2128566604202257e-13	6.67430649426584e-14	8.311595681011144e-14	1.9633383736033892e-14	2.137460494019278e-14	8.572839341672262e-14	7.100791075715803e-14	3.621499044174329e-11	1.3563138163253492e-11	7.060538575889311e-14	1.1589541771080293e-13	3.4186376704741145e-14	0.0	2.2945001427580673e-12	7.256285057167368e-14	1.2071133638431795e-13	3.3668524349343944e-14	0.0	1.9344879994754322e-14	1.191333266695465e-13	1.2721688621851533e-13	1.9535167879086682e-14	2.1667217620616075e-14	2.951163776831423e-14	2.3002789003985123e-11	1.258980099484434e-13	1.269050011637549e-13	1.2645771392604745e-13	2.0602780547856537e-14	7.264179397518261e-14	1.167593301797165e-13	1.2828989353398506e-13	1.2547522070058781e-13	1.2750057290311738e-13	1.716522564701694e-11	0.0	1.7871920415151252e-14	6.735413629942432e-14	0.0	2.1357490637241357e-14	1.2655017958913357e-13
F0	S2	2.6620729682003847e-10	2.6138069316733123e-10	2.2599200667712185e-10	2.2994203157189505e-10	1.5710382456530204e-10	0.003971808169733511	2.646264767375171e-10	2.2863188783694067e-10	2.284907412090339e-10	2.472071807051359e-10	0.0	1.9024479607831665e-09	2.6386677554142776e-10	0.0	1.4928638730013724e-10	2.6265679737409727e-10	2.649729304594202e-10	2.647627646537173e-10	1.4704709455033144e-10	2.2435581725165633e-10	10.467830895572492	1.491984526187848e-09	2.2582817357638336e-10	1.4080196032806318e-10	2.535557475574892e-10	2.6589124948205686e-10	0.0	2.7634173776381704e-10	10.21831258367977	2.6019681075946094e-10	2.61326369403878e-10	2.3211360814373998e-10	1.3471901014167648e-10	2.633985581102301e-10	2.2364874722254674e-10	1.7709216700409294e-10	2.2500601156861878e-10	2.6497437754037595e-10	2.5364938743594004e-10	2.6930757050521333e-10	2.6427000727590296e-10	1.4237849774803633e-09	2.7845817995069507e-10	0.0	2.562923711887591e-10	1.3989944386060532e-10	1.4026465612956646e-10	1.3591387197058578e-10	2.6302979558656663e-10	2.2418586094007535e-10	1.4873603731819427e-09	2.5171912038117707e-10	9.500468930774622	2.6221118126000483e-10	2.654000859993e-10	1.8892481128526944e-09	8.869460468745288	2.2371742736858532e-10	2.619444114868311e-10	2.6181988582345673e-10	0.0	2.3254633362615774e-10	1.3486334716316542e-10	2.2178911636221337e-10	2.3047521291479348e-10	2.2655207426734628e-10	0.0	2.3970955384044568	2.2684540667520124e-10	2.6103562014021393e-10	1.870955642181128e-09	1.8967338500812915e-09	0.02531066519029215	2.2641662619187807e-10	2.5207307195714667e-10	0.0	0.0	1.3584102278492456e-10	2.621252043924528e-10	0.0	1.3581892966752612e-10	2.2066485060575813e-10	1.8239246423571334e-10	7.694498353553896	0.0	0.0	2.5702521126010094e-10	1.3559121394287815e-10	2.1928286450982596e-10	2.6030157854112474e-10	2.6462143140520323e-10	2.5753266224543275e-10	2.5412676406709536e-10	10.184228631852852	0.0	1.425844031811635e-10	2.1784183723509353e-10	1.747793548585651e-09	2.211329676851485e-10	2.654412248891058e-10
F0	S3	1.2271411812549913e-06	1.1216376682940122e-06	3.80186346887844e-07	3.813444310918993e-07	2.0779562980276147e-08	0.0	1.2211450885480559e-06	3.838573882159826e-07	3.8172338288687737e-07	1.0558544761073618e-06	1.1828543468297348e-06	1.2840927088949698e-05	1.2068789589162357e-06	0.0	1.0882970578102432e-07	1.1855785003074715e-06	1.1781755612914687e-06	1.2234926307211922e-06	6.725212486455e-08	3.818547280587394e-07	0.008624355872507662	1.4810398537827858e-06	3.82552357226648e-07	9.416518862324344e-08	1.0879205038753136e-06	1.238704789832939e-06	1.2622476395530908e-06	1.2215789362199238e-06	0.007526938844826048	1.163797224609098e-06	1.1646985413032784e-06	3.7615884602285035e-07	3.3954716606433593e-08	1.1936199701287282e-06	3.796559414586085e-07	2.4892478090402783e-08	3.8307522939617406e-07	1.2262682525195055e-06	1.1423880489744162e-06	0.0	1.2308203463499278e-06	1.4973852362589817e-06	1.2479901193209973e-06	1.2809835723090187e-05	1.232678088978151e-06	5.457814899622397e-08	5.3269233619315786e-08	3.26858063658027e-08	1.1960275586065187e-06	3.8154288481860207e-07	1.5125020212433993e-06	1.093492692703762e-06	0.001625604450495714	1.1638620732099544e-06	1.2235159751833266e-06	1.306022971809416e-05	0.003837948950305813	3.833892340196974e-07	1.0654673991606053e-06	1.1814292372751687e-06	3.8038460246654256e-07	3.7699228007479783e-07	3.412057196428705e-08	3.3586847523232174e-07	3.7510815135750004e-07	3.816799898036729e-07	5.679725564962713e-05	0.0007998971126364635	3.8337309721026374e-07	1.160439545331128e-06	1.1817017863004235e-05	0.0	0.0	3.8313724264419384e-07	1.1263462491528944e-06	0.0	1.2190016749016272e-06	3.4327217524023696e-08	1.182669282266714e-06	1.188294684935863e-06	3.344734826397032e-08	3.294257877519854e-07	1.3285959995139557e-07	0.0017684104129958524	1.235949444472592e-06	1.2420640793611246e-06	1.1429077696799523e-06	3.42021651999394e-08	3.827281083013618e-07	1.1333143873844833e-06	1.2438474712515828e-06	1.0943100664049975e-06	1.24142155821356e-06	0.008805198696547745	1.2523676663776404e-06	0.0	3.8310403863072796e-07	0.0	3.359035234610589e-07	1.211641061158054e-06
F0	S4	0.0	9.951098469287415e-13	7.313108781744379e-13	7.34451000854894e-13	6.873439574890211e-13	4.697759437896819e-13	1.0454626071966979e-12	7.37904533750534e-13	7.399002184934519e-13	9.421311160522857e-13	0.0	1.3411156308391842e-12	1.0296233099940845e-12	0.0	9.443719227171871e-13	1.0369431474038852e-12	0.0	1.0372828861400852e-12	7.472426549244438e-13	7.300199500513273e-13	2.6832112986787076e-12	9.408127084747175e-13	7.234896288574424e-13	9.335468663583113e-13	9.864805268390387e-13	1.0408895227239669e-12	1.0692828926995983e-12	1.19965223375699e-12	0.0	1.020328714290027e-12	1.0276368456288245e-12	8.633336628121392e-13	5.766001015983161e-13	1.034294670080147e-12	0.0	3.1646463798886944e-13	7.308545025811114e-13	1.040383506155082e-12	1.0135179381627992e-12	1.1014066058438314e-12	0.0	9.892153224503265e-13	1.2381569442345133e-12	0.0	1.0216220017212724e-12	6.203097798606404e-13	6.31273045235917e-13	5.752019468878707e-13	1.0155392980884524e-12	7.470680279023547e-13	1.0470820108550203e-12	9.979791392815074e-13	0.0	1.0345851205360543e-12	1.057102545089649e-12	1.3450124413068465e-12	0.0	7.240881381875619e-13	9.57131611586865e-13	1.0430330584752475e-12	7.415422041785193e-13	8.548289777073017e-13	5.898202377936913e-13	3.9380084459939133e-13	8.654827825275232e-13	7.347653701685467e-13	0.0	9.594426242031695e-13	7.501653258653172e-13	1.0043069488213535e-12	1.307188757158119e-12	1.3589151671112567e-12	0.0	0.0	9.995645319687069e-13	0.0	1.2190231064089396e-12	5.85984856976399e-13	1.0347611316495831e-12	0.0	5.876796804090927e-13	3.886591496899251e-13	7.143052012964127e-13	1.6567715555731244e-12	1.0470395926494822e-12	1.0510374449838654e-12	9.88411642687637e-13	5.797642804505533e-13	7.341295358843751e-13	1.0188264773758548e-12	1.0538429253877863e-12	1.0083598462247702e-12	1.046513484411526e-12	0.0	0.0	9.444226152846028e-13	7.350011455672097e-13	0.0	3.922808124152945e-13	1.0235541408220387e-12
F0	S5	0.0	3.9457791372857946e-08	1.176129842337596e-07	1.4161449172896957e-07	1.0078375179512491e-07	0.0	0.0	1.2939522006492836e-07	1.2388081155007397e-07	3.844687232955559e-08	0.0	5.7155467153333965e-08	3.98785244037702e-08	5.7392746985497815e-08	0.0	4.032072488944724e-08	0.0	4.107256648890411e-08	0.0	1.2118636782660674e-07	0.0	9.43974379789863e-07	1.25594788409528e-07	5.519547187874926e-06	0.0	4.0515662832671644e-08	0.0	4.127882662683606e-08	0.0	4.012324647791935e-08	4.022850203026692e-08	1.3379319281544137e-07	5.256302510110681e-07	3.9942340361551034e-08	0.0	0.0	1.221519835484124e-07	4.0602196674272516e-08	3.997071566601719e-08	0.0	3.9996406494836324e-08	0.0	0.0	5.703091100395464e-08	4.072748551300783e-08	1.5687616972100142e-06	0.0	0.0	0.0	1.2792050442319478e-07	0.0	3.95742064078915e-08	0.0	4.118182193434073e-08	0.0	0.0	0.0	1.228019636140278e-07	3.800920658437995e-08	4.0149041707815665e-08	0.0	1.333175964996219e-07	0.0	0.0	0.0	1.1792988471790305e-07	0.0	2.5889334381623524e-06	1.464490803187478e-07	4.08537648312391e-08	5.6046483525033064e-08	0.0	2.045667768821522e-06	1.435291418137395e-07	0.0	0.0	4.126550271587998e-08	5.272348204666663e-07	3.9900394463373596e-08	4.0145090350026666e-08	0.0	9.1715065675131e-08	7.883558166393456e-07	0.0	0.0	0.0	4.028423035052981e-08	5.235833940000723e-07	0.0	0.0	0.0	4.064773379283199e-08	0.0	0.0	0.0	5.747329781869637e-06	1.354955571346926e-07	5.788597088887166e-08	0.0	0.0
F0	S6	1.0890341521616608e-06	1.004655154288913e-06	7.02174405699236e-07	7.30930460476863e-07	3.474967419151328e-07	0.0	1.0860747864736368e-06	0.0	0.0	9.27217164074202e-07	1.0619051682253498e-06	0.0	1.079788085869658e-06	0.0	0.0	1.060258439334604e-06	1.0447036269794536e-06	1.0902026783061257e-06	3.964997688993631e-07	7.05780463657364e-07	0.0	2.7908471613693795e-06	7.159041403820512e-07	5.312847724036446e-07	9.807629465817107e-07	0.0	0.0	0.0	0.0	0.0	1.0369810787899787e-06	0.0	3.1518061895291007e-07	1.0647868199223347e-06	7.205292687688875e-07	0.0	7.228219951007368e-07	1.0880886960894563e-06	1.0334350659835204e-06	0.0	1.1047103296983425e-06	0.0	0.0	6.79712196441495e-06	0.0	3.270934555512621e-07	0.0	0.0	1.054571798105569e-06	0.0	0.0	9.917846875200795e-07	0.0	0.0	1.0823783278776755e-06	0.0	0.0	7.204642947873145e-07	0.0	0.0	7.115830093916256e-07	8.137295467520763e-07	3.179293266832508e-07	0.0	0.0	0.0	2.1387998353885636e-05	0.0	0.0	1.0262268303446233e-06	6.3077728863518025e-06	0.0	0.0	7.574088373477255e-07	1.0069732550399562e-06	0.0	0.0	3.1842257776715154e-07	1.0559006733622067e-06	0.0	3.191905270897945e-07	2.939596859526842e-07	4.899128067932845e-07	0.004340302160140433	0.0	0.0	1.0135433220185934e-06	3.143891766470788e-07	7.449362058013118e-07	0.0	0.0	9.86889668990805e-07	0.0	0.0	0.0	5.38940611927291e-07	0.0	0.0	0.0	1.0713637691906745e-06
F0	S7	0.0	3.637678742673814e-13	4.5185759356570445e-13	4.588207110153015e-13	7.271627072197866e-13	0.0	0.0	4.4902252479847356e-13	4.759458753597297e-13	3.697354798404373e-13	0.0	0.0	0.0	0.0	0.0	3.6765969806361113e-13	3.640452059116846e-13	3.491075913512779e-13	6.479926749647202e-13	0.0	0.0	2.8119332701193597e-12	4.590081224670758e-13	6.010685989951232e-13	3.9365892158468944e-13	0.0	0.0	0.0	0.0	3.5729408013996933e-13	3.5814882287500484e-13	4.892960770129922e-13	6.430123966470062e-13	0.0	4.625350556498905e-13	2.9214849714532586e-13	4.978149458756753e-13	0.0	3.761508290796069e-13	0.0	3.5536313147795415e-13	0.0	0.0	0.0	3.7500072859219683e-13	6.099128925494037e-13	0.0	0.0	3.381349734895369e-13	4.562970486338027e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.499573546103855e-13	0.0	3.5810231377667793e-13	0.0	0.0	0.0	1.6144196674971253e-13	0.0	0.0	0.0	0.0	4.639269212559498e-13	3.5254930015280925e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4398094463387207e-13	0.0	1.664480882868061e-13	0.0	0.0	3.4296985518323097e-13	0.0	0.0	6.356922914213302e-13	0.0	3.483139811611088e-13	0.0	3.978259655232912e-13	3.871608497432792e-13	3.2038575668703753e-09	0.0	6.065555293127228e-13	4.968399653085648e-13	0.0	0.0	0.0
F0	S8	0.0	0.00017953354367414892	7.690665891595099e-05	0.0	0.0	2.3130667209278806	0.0	0.0	7.884137264171337e-05	0.00017644891641782715	0.0001914357101568686	0.0	0.0	0.0010057182802300363	0.0	0.000190151699044894	0.0001883822181575781	0.0	0.0	7.97147954424232e-05	0.0	0.00023044170185121003	0.0	1.9657959786073865e-05	0.00017399120033864104	0.0	0.0	0.0	0.0	0.00018787380474123935	0.00018761186877028598	0.0	0.0	0.00019158928850817298	7.844685747574912e-05	1.1171419258903518e-05	0.0	0.0	0.0	0.0	0.0	0.0002297670654526365	0.0	0.0	0.0	0.0	0.0	1.5300530459649472e-05	0.0	0.0	0.0	0.00017536076799693043	0.0	0.00018738603721100234	0.00019634089568358005	0.0	0.0	0.0	0.00017154342110126884	0.00018962564723067174	7.740718657723177e-05	0.0	0.0	5.51524372068606e-05	7.777807769374201e-05	7.917231650170803e-05	0.0	0.0	0.0	0.0	0.0008873457590064686	0.0	0.0	0.0	0.00018131615688041366	0.0	0.0	0.0	0.00018991493194157725	0.0	0.0	5.466575467450068e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018244025455095816	0.0	0.00017936742563432717	0.0	0.0	0.0	1.951227171427171e-05	0.0	0.0009113769255780953	5.541242650385913e-05	0.0
F0	S9	0.0	0.0	0.0	0.0	9.457109337509194e-16	1.3935378504919345e-14	0.0	2.933828593452005e-14	0.0	5.163711280978538e-14	0.0	0.0	5.877954038715605e-14	0.0	0.0	5.844755210795465e-14	5.789654676825891e-14	6.005501311325023e-14	1.3171699724254714e-15	0.0	0.0	3.0688182253842324e-14	0.0	9.041185464503975e-16	5.498082206422046e-14	5.995684118544871e-14	0.0	0.0	0.0	0.0	5.74175809523405e-14	3.2038683882195285e-14	8.625478533228238e-16	0.0	2.8834501609699126e-14	0.0	0.0	6.018479541401006e-14	0.0	6.509445418289471e-14	0.0	3.2240303841744574e-14	0.0	0.0	5.959303007926174e-14	8.76276820082909e-16	8.752297570630803e-16	8.722959842229017e-16	0.0	2.9359335216230997e-14	0.0	0.0	0.0	0.0	0.0	1.5508276657606705e-13	0.0	2.896157142263654e-14	5.221434294922335e-14	0.0	0.0	0.0	8.616155040629964e-16	0.0	0.0	2.8959001666451024e-14	0.0	0.0	0.0	5.6571315448173466e-14	0.0	0.0	0.0	0.0	5.589077332559062e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.055711684718842e-14	0.0	5.6076552590963423e-14	0.0	0.0	5.574492703170513e-14	6.037798735409319e-14	5.5001301578317746e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
